"No.","Time","Source","Destination","Protocol","Length","Info"
"192","145.157561000","f0:e2:4e:7e:88:74:30:16","18:c0:ff:ee:c0:ff:ee:01","IEEE 802.15.4","140","Data, Dst: 18:c0:ff:ee:c0:ffee:01, Src: f0:e2:4e:7e:88:7430:16, Bad FCS"
"193","145.158152000","","","IEEE 802.15.4","21","Ack"
"194","145.679984000","fe80::f2e2:4e7e:8874:3016","fe80::1ac0:ffee:c0ff:ee01","ICMPv6","76","RPL Control (Destination Advertisement Object)"
"195","145.680573000","","","IEEE 802.15.4","21","Ack"
"196","145.701717000","fe80::1ac0:ffee:c0ff:ee01","fe80::f2e2:4e7e:8874:3016","ICMPv6","69","RPL Control (Destination Advertisement Object Acknowledgment)"
"197","150.090720000","fe80::1ac0:ffee:c0ff:ee01","ff02::1a","ICMPv6","104","RPL Control (DODAG Information Object)"
"198","155.096677000","fe80::1ac0:ffee:c0ff:ee01","ff02::1a","ICMPv6","104","RPL Control (DODAG Information Object)"
"199","160.103935000","fe80::1ac0:ffee:c0ff:ee01","ff02::1a","ICMPv6","104","RPL Control (DODAG Information Object)"
"200","165.108924000","fe80::1ac0:ffee:c0ff:ee01","ff02::1a","ICMPv6","104","RPL Control (DODAG Information Object)"
"201","170.116157000","fe80::1ac0:ffee:c0ff:ee01","ff02::1a","ICMPv6","104","RPL Control (DODAG Information Object)"
"202","175.121545000","fe80::1ac0:ffee:c0ff:ee01","ff02::1a","ICMPv6","104","RPL Control (DODAG Information Object)"
